Date,Open,High,Low,Close,Adj Close,Volume
2018-12-24,18480.000000,18480.000000,18030.000000,18040.000000,17462.458984,230850
2018-12-25,17940.000000,18400.000000,17630.000000,18350.000000,17762.533203,79636
2018-12-26,18200.000000,18650.000000,18020.000000,18120.000000,17539.896484,88296
2018-12-27,18190.000000,18400.000000,17960.000000,18050.000000,17472.138672,165768
2018-12-30,18000.000000,18020.000000,17720.000000,17820.000000,17249.500000,64943
2018-12-31,17820.000000,17950.000000,17610.000000,17850.000000,17278.541016,60447
2019-01-01,17850.000000,18060.000000,17850.000000,17980.000000,17404.378906,28643
2019-01-02,17800.000000,18000.000000,17620.000000,17700.000000,17133.343750,66050
2019-01-03,17500.000000,17780.000000,17500.000000,17620.000000,17055.904297,83584
2019-01-06,17900.000000,17910.000000,17540.000000,17800.000000,17230.140625,24985
2019-01-07,17800.000000,18150.000000,17760.000000,18100.000000,17520.537109,56071
2019-01-08,18070.000000,18340.000000,17980.000000,18140.000000,17559.255859,55740
2019-01-09,18240.000000,18640.000000,18010.000000,18500.000000,17907.732422,83254
2019-01-10,18590.000000,18730.000000,18400.000000,18610.000000,18014.210938,68188
2019-01-13,18610.000000,18630.000000,18430.000000,18450.000000,17859.333984,50720
2019-01-14,18200.000000,18450.000000,18190.000000,18350.000000,17762.533203,202918
2019-01-15,18460.000000,18690.000000,18350.000000,18580.000000,17985.171875,28163
2019-01-16,18580.000000,18890.000000,18480.000000,18850.000000,18246.525391,36327
2019-01-17,18950.000000,18950.000000,18800.000000,18900.000000,18294.925781,66229
2019-01-20,19170.000000,19250.000000,18870.000000,18900.000000,18294.925781,21844
2019-01-21,18900.000000,18900.000000,18580.000000,18590.000000,17994.849609,21670
2019-01-22,18340.000000,18450.000000,18280.000000,18340.000000,17752.853516,42168
2019-01-23,18290.000000,18500.000000,18270.000000,18500.000000,17907.732422,30444
2019-01-24,18740.000000,18940.000000,18610.000000,18820.000000,18217.488281,110521
2019-01-27,18980.000000,19120.000000,18800.000000,18830.000000,18227.166016,18303
2019-01-28,18730.000000,19200.000000,18680.000000,19030.000000,18420.763672,44094
2019-01-29,19030.000000,19270.000000,18870.000000,19020.000000,18411.083984,73739
2019-01-30,18930.000000,19280.000000,18930.000000,19150.000000,18536.921875,30392
2019-01-31,19270.000000,19490.000000,19030.000000,19340.000000,18720.839844,151499
2019-02-03,19340.000000,19460.000000,19140.000000,19310.000000,18691.798828,17909
2019-02-04,19300.000000,19400.000000,19010.000000,19010.000000,18401.404297,98728
2019-02-05,19090.000000,19310.000000,19030.000000,19240.000000,18624.041016,30648
2019-02-06,19070.000000,19450.000000,19070.000000,19290.000000,18672.441406,43466
2019-02-07,19290.000000,19380.000000,19130.000000,19180.000000,18565.960938,102543
2019-02-10,19350.000000,19350.000000,19010.000000,19050.000000,18440.123047,24690
2019-02-11,19050.000000,19360.000000,19050.000000,19160.000000,18546.601563,24463
2019-02-12,19330.000000,19490.000000,19200.000000,19400.000000,18778.919922,38629
